T,M,Time
1,1,0.000898
1,10,0.005818
1,20,0.012473
1,30,0.040955
1,40,0.010644
1,50,0.023336
1,100,0.016083
10,1,0.118680
10,10,0.001732
10,20,0.088441
10,30,0.085141
10,40,0.095379
10,50,0.161661
10,100,0.085715
20,1,0.002287
20,10,0.112102
20,20,0.103885
20,30,0.086702
20,40,0.084419
20,50,0.001812
20,100,0.082638
